date,shift,outbound_stock,workers_assigned,processing_rate_per_worker,actual_processing_time,shift_hours,peak_period,equipment_available
2026-07-28,Outbound-Main,12354,13,118.7,8.01,8.0,0,16
2026-07-29,Outbound-Main,13346,16,103.2,8.08,8.0,0,14
2026-07-30,Outbound-Main,12667,14,112.4,8.05,8.0,1,16
2026-07-31,Outbound-Main,13555,13,110.3,9.45,8.0,1,16
2026-08-01,Outbound-Main,9380,11,105.3,8.1,8.0,0,16
2026-08-02,Outbound-Main,5379,10,117.7,4.57,8.0,0,16
2026-08-03,Outbound-Main,12159,13,102.7,9.11,8.0,0,14
2026-08-04,Outbound-Main,12262,14,108.3,8.09,8.0,0,14
2026-08-05,Outbound-Main,13783,16,105.7,8.15,8.0,0,16
2026-08-06,Outbound-Main,14022,14,114.4,8.75,8.0,1,14
2026-08-07,Outbound-Main,13439,15,118.6,7.55,8.0,1,14
2026-08-08,Outbound-Main,9355,10,117.6,7.95,8.0,0,14
2026-08-09,Outbound-Main,5802,10,115.7,5.01,8.0,0,16
2026-08-10,Outbound-Main,12251,12,115.5,8.84,8.0,0,14
2026-08-11,Outbound-Main,12527,14,111.6,8.02,8.0,0,14
2026-08-12,Outbound-Main,13033,13,108.4,9.25,8.0,0,16
2026-08-13,Outbound-Main,13458,16,102.4,8.21,8.0,1,16
2026-08-14,Outbound-Main,13223,14,111.6,8.46,8.0,1,16
2026-08-15,Outbound-Main,8963,10,116.2,7.71,8.0,0,16
2026-08-16,Outbound-Main,5174,10,111.7,4.63,8.0,0,16
2026-08-17,Outbound-Main,12204,13,108.8,8.63,8.0,0,16
2026-08-18,Outbound-Main,12866,15,113.6,7.55,8.0,0,16
2026-08-19,Outbound-Main,13007,16,104.8,7.76,8.0,0,16
2026-08-20,Outbound-Main,13650,16,117.3,7.27,8.0,1,14
2026-08-21,Outbound-Main,13740,13,110.8,9.54,8.0,1,16
2026-08-22,Outbound-Main,9226,10,114.9,8.03,8.0,0,16
2026-08-23,Outbound-Main,6352,10,105.4,6.03,8.0,0,16
2026-08-24,Outbound-Main,12422,14,105.6,8.4,8.0,0,16
2026-08-25,Outbound-Main,13056,16,111.1,7.34,8.0,0,18
2026-08-26,Outbound-Main,13645,17,111.6,7.19,8.0,0,14
2026-08-27,Outbound-Main,13299,14,119.8,7.93,8.0,1,16
2026-08-28,Outbound-Main,13466,14,103.6,9.28,8.0,1,14
2026-08-29,Outbound-Main,10049,11,108.3,8.44,8.0,0,18
2026-08-30,Outbound-Main,5866,10,119.4,4.91,8.0,0,14
2026-08-31,Outbound-Main,12609,15,108.8,7.73,8.0,0,18
2026-09-01,Outbound-Main,12598,15,117.2,7.17,8.0,0,14
2026-09-02,Outbound-Main,13474,15,105.0,8.55,8.0,0,18
2026-09-03,Outbound-Main,13868,15,113.4,8.15,8.0,1,18
2026-09-04,Outbound-Main,13957,14,116.7,8.54,8.0,1,16
2026-09-05,Outbound-Main,8843,10,113.2,7.81,8.0,0,16
2026-09-06,Outbound-Main,6804,10,118.2,5.76,8.0,0,16
2026-09-07,Outbound-Main,12154,15,118.3,6.85,8.0,0,16
2026-09-08,Outbound-Main,12201,14,116.3,7.49,8.0,0,16
2026-09-09,Outbound-Main,14136,17,115.3,7.21,8.0,0,16
