date,shift,inbound_stock,workers_assigned,processing_rate_per_worker,actual_processing_time,shift_hours,peak_period,equipment_available
2026-08-09,Day,7111,10,113.8,6.25,8.0,0,12
2026-08-10,Day,15677,17,102.3,9.01,8.0,1,14
2026-08-11,Day,15094,16,110.6,8.53,8.0,1,15
2026-08-12,Day,13430,17,103.0,7.67,8.0,0,15
2026-08-13,Day,14267,15,112.7,8.44,8.0,0,16
2026-08-14,Day,12257,16,101.3,7.56,8.0,0,12
2026-08-15,Day,10568,13,113.1,7.19,8.0,0,12
2026-08-16,Day,6391,10,105.9,6.03,8.0,0,15
2026-08-17,Day,16281,21,112.3,6.9,8.0,1,16
2026-08-18,Day,15723,20,106.9,7.35,8.0,1,15
2026-08-19,Day,13233,16,114.4,7.23,8.0,0,15
2026-08-20,Day,13773,16,108.8,7.91,8.0,0,15
2026-08-21,Day,12356,16,114.5,6.74,8.0,0,15
2026-08-22,Day,9308,11,105.5,8.02,8.0,0,12
2026-08-23,Day,6893,10,101.1,6.82,8.0,0,12
2026-08-24,Day,16330,17,100.9,9.52,8.0,1,14
2026-08-25,Day,15487,17,102.1,8.92,8.0,1,12
2026-08-26,Day,14112,18,108.4,7.23,8.0,0,15
2026-08-27,Day,14821,18,107.6,7.65,8.0,0,14
2026-08-28,Day,12210,15,98.8,8.24,8.0,0,12
2026-08-29,Day,9186,11,101.0,8.27,8.0,0,12
2026-08-30,Day,7434,10,100.9,7.37,8.0,0,15
2026-08-31,Day,16042,18,108.5,8.21,8.0,1,15
2026-09-01,Day,15806,17,113.9,8.16,8.0,1,15
2026-09-02,Day,13981,18,109.6,7.09,8.0,0,15
2026-09-03,Day,14282,18,107.8,7.36,8.0,0,15
2026-09-04,Day,12779,16,100.2,7.97,8.0,0,16
2026-09-05,Day,9754,10,114.3,8.53,8.0,0,16
2026-09-06,Day,7713,10,102.7,7.51,8.0,0,14
2026-09-07,Day,15812,17,109.6,8.49,8.0,1,12
2026-09-08,Day,15938,20,112.4,7.09,8.0,1,12
2026-09-09,Day,14063,17,109.8,7.53,8.0,0,15
